项目名称,区域,地址,户型,最低租金,最高租金,最小面积,最大面积,联系电话
馨越公寓,普陀区,普陀区千阳南路99弄,一居室、二居室、单间,2060,3010,33.53,47.17,53391055
都会名筑,松江区,松江区车墩镇南姚东路99弄,三居室、二居室,2617,3539,76.92,99.3,67818816
光明雅筑,松江区,松江区洞泾镇陆家圈路63弄,二居室、三居室,3245,3979,76.56,90.96,67818816
桂语云居,松江区,松江区草长浜路188弄,二居室、一居室,2467,2883,64.8,75.71,57899291
恒都云湾园,松江区,松江区茸惠南路58弄11号,二居室,2670,2817,66.83,67.32,67799766
金地艺境,松江区,松江区仓轩路211弄49号,三居室、一居室,1669,2981,51.08,85.59,57899291
麓源,松江区,松江区永隆路980弄207号,三居室、二居室,2165,2709,72.23,93.77,57899291
绿地松江名苑,松江区,松江区仓华路999弄86号,二居室、一居室,1946,2843,50.04,78.57,57899291
水云间,松江区,松江区兴仓路39弄45号,二居室,2548,3269,73.15,89.68,57899291
松江颐景园,松江区,松江区荣乐西路1058弄7号,三居室、单间,979,3312,28.09,93.45,57899291
新城云间锦院,松江区,松江区化工路555弄46号,三居室、单间,821,2715,27.66,91.43,57899291
信达蓝尊,松江区,松江区长水街277弄15号,二居室、一居室,2426,3379,48.58,69.51,67799766
云著苑,松江区,松江区五昆路88弄1号,一居室,2585,2790,58.38,58.38,67799766
中海九峯里馨苑,松江区,松江区小昆山镇文南路399弄274号,二居室,1941,2158,56.03,63.05,57899291
锦尚悦庭,奉贤区,上海市奉贤区碧园路289弄,二居室、一居室,1264,2088,49.37,79.55,67188885
奉发有言轩,奉贤区,上海市奉贤区丽南路299弄,二居室、三居室、一居室,2091,2558,55.18,83.31,67188885
城投宽庭Lite·青浦社区,青浦区,上海市香大路218号,单间,810,2430,30.48,86.24,18121361561
翠羽景庭,崇明区,陈家镇雪雁路299弄,一居室、三居室、二居室,1000,1470,55.82,77.98,69690831
怡雅园,崇明区,崇明区陈家镇揽海路3350弄,一居室、三居室、二居室,878,1410,55.35,83.43,69690831
右岸雅苑,崇明区,崇明区陈家镇雪雁路66弄,三居室、二居室、一居室,1037,1481,54.99,78.63,69690831
翠鸣雅苑,崇明区,崇明区陈家镇翠鸟路396弄,三居室、二居室,1151,1662,64.72,85.22,69690831
金茂雅庭,崇明区,崇明区长兴镇渔乐路188弄,一居室、二居室,1786,2646,53.31,75.85,69690831
山水拾间,崇明区,崇明区陈家镇揽海路3777弄,二居室,1485,1690,84.65,98.29,69690831
东滩智慧名苑,崇明区,崇明区陈家镇安通东路181弄,一居室、三居室、二居室,533,1001,48.31,85.81,69690831
中粮悦庭,奉贤区,上海市奉贤区贤政路333弄,二居室、三居室,1877,2503,81.62,97.78,67188885
浦泾苑,奉贤区,上海市奉贤区定康路205弄,一居室、三居室、二居室,960,2991,48.29,128.95,67188885
鸿宝二村19幢255号,奉贤区,上海市奉贤区鸿乐路156弄,一居室,770,770,35,35,67188885
奉发左岸晶邸,奉贤区,上海市奉贤区碧园路192弄,二居室、一居室,1067,1618,42.54,64.5,67188885
锦尚名庭,奉贤区,上海市奉贤区广丰路650弄,二居室、三居室、一居室,1472,2223,58.65,88.57,67188885
中铁逸景苑,奉贤区,上海市奉贤区光昊路99弄,一居室、三居室、二居室,1508,2700,47.45,84.93,67188885
保利华都名苑,奉贤区,上海市奉贤区光昊路168弄,二居室、一居室、三居室,1934,3245,52.58,88.18,67188885
奉发名邸,奉贤区,上海市奉贤区康钱路211弄,二居室、一居室、三居室,2258,3481,52.9,81.53,67188885
悦景名筑,奉贤区,上海市奉贤区庄良路60弄,二居室、三居室、一居室,1179,1965,49.55,82.6,67188885
融悦铂庭,奉贤区,上海市奉贤区金雄路1055弄,三居室、二居室、一居室,1338,2050,57.71,88.39,67188885
